Airlines,Departure,Arrival,Price
IndiGo,02:30,05:25,"₹ 5,799"
SpiceJet,20:30,23:30,"₹ 5,799"
IndiGo,21:05,00:10,"₹ 5,799"
Air India,06:50,09:40,"₹ 5,922"
Air India,09:50,12:50,"₹ 5,922"
Air India,11:15,14:05,"₹ 5,922"
Air India,15:55,18:50,"₹ 5,922"
Air India,16:55,19:45,"₹ 5,922"
Air India,20:40,23:25,"₹ 5,922"
Air India,21:10,00:05,"₹ 5,922"
Air India,06:00,08:50,"₹ 6,023"
Air India,17:15,20:05,"₹ 6,174"
IndiGo,05:55,08:50,"₹ 6,267"
IndiGo,10:45,13:35,"₹ 6,267"
IndiGo,14:35,17:30,"₹ 6,267"
IndiGo,16:00,19:00,"₹ 6,267"
IndiGo,23:15,02:10,"₹ 6,267"
IndiGo,08:00,10:55,"₹ 6,582"
IndiGo,13:05,15:55,"₹ 6,582"
